id,bottom_center,size
0,"[0.5166015625, 0.998046875]","[0.146484375, 0.591796875]"
1,"[0.4169921875, 0.8203125]","[0.353515625, 0.326171875]"
2,"[0.3984375, 0.9970760233918129]","[0.2734375, 0.7660818713450293]"
3,"[0.5400390625, 0.9970760233918129]","[0.251953125, 0.6286549707602339]"
4,"[0.5381231671554252, 0.900390625]","[0.25513196480938416, 0.560546875]"
5,"[0.5503472222222222, 0.671875]","[0.3090277777777778, 0.419921875]"
6,"[0.4941348973607038, 0.998046875]","[0.31378299120234604, 0.560546875]"
7,"[0.373046875, 0.9970760233918129]","[0.27734375, 0.6608187134502924]"
8,"[0.611328125, 0.9973958333333334]","[0.23828125, 0.6614583333333334]"
9,"[0.4306640625, 0.9973958333333334]","[0.154296875, 0.7213541666666666]"
10,"[0.4208984375, 0.9970760233918129]","[0.259765625, 0.8859649122807017]"
11,"[0.3955078125, 0.9970760233918129]","[0.197265625, 0.7280701754385965]"
12,"[0.2412109375, 0.9973958333333334]","[0.408203125, 0.8515625]"
13,"[0.6832844574780058, 0.9296875]","[0.36363636363636365, 0.50390625]"
14,"[0.44140625, 0.9970760233918129]","[0.34765625, 0.7222222222222222]"
15,"[0.5302734375, 0.998046875]","[0.251953125, 0.779296875]"
16,"[0.5150300601202404, 0.9238476953907816]","[0.17234468937875752, 0.5831663326653307]"
17,"[0.5050100200400801, 0.989983305509182]","[0.42084168336673344, 0.44240400667779634]"
18,"[0.35429141716566864, 0.998003992015968]","[0.17365269461077845, 0.4291417165668663]"
19,"[0.4181459566074951, 0.998]","[0.28007889546351084, 0.654]"
20,"[0.47904191616766467, 0.998003992015968]","[0.3033932135728543, 0.45109780439121755]"
21,"[0.5303398058252428, 0.970703125]","[0.5024271844660194, 0.552734375]"
22,"[0.31774580335731417, 0.998046875]","[0.1510791366906475, 0.587890625]"
23,"[0.5365853658536586, 0.9375]","[0.5560975609756098, 0.40234375]"
24,"[0.560546875, 0.998046875]","[0.1640625, 0.359375]"
25,"[0.5365853658536586, 0.998046875]","[0.3170731707317073, 0.62890625]"
26,"[0.19708029197080293, 0.998046875]","[0.39416058394160586, 0.658203125]"
27,"[0.45686619718309857, 0.9976635514018691]","[0.13556338028169015, 0.572429906542056]"
28,"[0.630859375, 0.998046875]","[0.35546875, 0.693359375]"
29,"[0.39669421487603307, 0.9977973568281938]","[0.2115702479338843, 0.5088105726872246]"
30,"[0.5146341463414634, 0.998046875]","[0.3951219512195122, 0.716796875]"
31,"[0.5059760956175299, 0.9853181076672104]","[0.11155378486055777, 0.3034257748776509]"
32,"[0.5036585365853659, 0.998046875]","[0.23658536585365852, 0.580078125]"
33,"[0.5073529411764706, 0.9627450980392157]","[0.22058823529411764, 0.4196078431372549]"
34,"[0.6178678678678678, 0.998]","[0.1066066066066066, 0.572]"
35,"[0.4406015037593985, 0.9979959919839679]","[0.13834586466165413, 0.2865731462925852]"
36,"[0.3203753351206434, 0.998]","[0.1447721179624665, 0.556]"
37,"[0.40465465465465467, 0.998]","[0.2987987987987988, 0.444]"
38,"[0.492, 0.698]","[0.21066666666666667, 0.25]"
39,"[0.4925, 0.998]","[0.24, 0.506]"
40,"[0.49799599198396793, 0.9418837675350702]","[0.09418837675350701, 0.38276553106212424]"
41,"[0.5483870967741935, 0.9639278557114228]","[0.20872865275142316, 0.5511022044088176]"
42,"[0.483, 0.998]","[0.214, 0.452]"
43,"[0.5613333333333334, 0.9979959919839679]","[0.20533333333333334, 0.4468937875751503]"
44,"[0.523936170212766, 0.998003992015968]","[0.18617021276595744, 0.4091816367265469]"
45,"[0.544, 0.998]","[0.176, 0.496]"
46,"[0.496, 0.998]","[0.364, 0.472]"
47,"[0.503006012024048, 0.9979959919839679]","[0.3687374749498998, 0.4168336673346693]"
48,"[0.5056689342403629, 0.962]","[0.09977324263038549, 0.362]"
49,"[0.5025839793281653, 0.9880239520958084]","[0.17829457364341086, 0.4431137724550898]"